Part Number,Marking,Manufacturer,Quantity,Category,Description,Package,Datasheet URL,Source Photos,Identification Confidence,Count Confidence,Notes
SN74HC574N,"SN74HC574N; 18C88KK E4",Texas Instruments,4,Logic register,"Octal edge-triggered D flip-flop with 3-state outputs",PDIP-20,https://www.ti.com/lit/ds/symlink/sn74hc574.pdf,IMG_20260818_193135.jpg,high,high,"18C88KK is trace/lot; E4 is an environmental/finish code."
SN74LS00N,"SN74LS00N; 37C6C6M / 43HLRVK",Texas Instruments,2,Logic gate,"Four independent 2-input LS-TTL NAND gates",PDIP-14,https://www.ti.com/lit/ds/symlink/sn74ls00.pdf,"IMG_20260818_193155.jpg; IMG_20260818_201003.jpg",high,medium,"37C6C6M and 43HLRVK are trace/lot codes."
ATMEGA328P-PU,"ATMEGA328P U; 35473D; 2311E2P",Atmel / Microchip,4,Microcontroller,"8-bit AVR microcontroller with 32 KB flash",PDIP-28,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/ATmega48A-PA-88A-PA-168A-PA-328-P-DS-DS40002061B.pdf,IMG_20260818_193209.jpg,high,high,"35473D and 2311E2P are production trace codes."
SN74HC595N,"SN74HC595N; 838HXL E4",Texas Instruments,6,Shift register,"8-bit serial-in/parallel-out shift register with output latch",PDIP-16,https://www.ti.com/lit/ds/symlink/sn74hc595.pdf,IMG_20260818_193224.jpg,high,high,"838HXL is trace/lot; E4 is an environmental/finish code."
MAX7219CNG,"MAX7219CNG; +1718",Maxim Integrated / Analog Devices,5,LED driver,"Serial driver for eight 7-segment digits or 64 individual LEDs",PDIP-24,https://pdfserv.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf,IMG_20260818_193241.jpg,high,high,"+1718 is a production/date code."
TPIC6B595N,"TPIC6B595N; 7CD55TK / 43AHLK",Texas Instruments,29,Power shift register,"8-bit shift register with eight 150 mA open-drain DMOS outputs",PDIP-20,https://www.ti.com/lit/ds/symlink/tpic6b595.pdf,"IMG_20260818_193314.jpg; IMG_20260818_193332.jpg; IMG_20260818_193431.jpg",medium,medium,"One marking and the 11-piece count are reduced-confidence; upper strings are trace/lot codes."
DM13A,"DM13A; B22052213G; second pair user-confirmed",Silicon Touch Technology,4,LED driver,"16-channel adjustable constant-current LED sink driver",PDIP-24,https://pdf.dzsc.com/autoupload/1f42f44e-3892-44c6-be6d-2f74342a1657.pdf,"IMG_20260818_193355.jpg; IMG_20260818_200717.jpg",high,medium,"B22052213G is a lot/date/trace string; two faintly marked packages were confirmed by the user; datasheet is an archived manufacturer document."
74HC595N,"74HC595N; L1A5E1 21 / UnG1114D / L9D9D6 20 / UnG0940D",NXP Semiconductors / Nexperia,9,Shift register,"8-bit serial-in/parallel-out shift register with latched 3-state outputs",DIP-16,https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf,"IMG_20260818_193451.jpg; IMG_20260818_200858.jpg",high,medium,"Lower marking lines are assembly/trace/date codes."
SN74LS90N,"SN74LS90N; X34DC1VK",Texas Instruments,1,Counter logic,"4-bit asynchronous decade/divide-by-ten counter",PDIP-14,https://www.ti.com/lit/ds/symlink/sn74ls90.pdf,IMG_20260818_193651.jpg,high,high,"X34DC1VK is trace/lot information."
ADC0831CCN,"ADC / 0831CCN; JR39AD / JRC98ABE3",National Semiconductor / Texas Instruments,2,Data converter,"Single-channel 8-bit successive-approximation ADC with serial interface",PDIP-8,https://www.ti.com/lit/ds/symlink/adc0831-n.pdf,"IMG_20260818_193714.jpg; IMG_20260818_201204.jpg",high,medium,"ADC and 0831CCN form the part number; upper strings are trace codes."
ATMEGA168-20PU,"ATMEGA168-20PU; user-confirmed from faint marking",Atmel / Microchip,1,Microcontroller,"8-bit AVR microcontroller with 16 KB flash and 20 MHz maximum clock",PDIP-28,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2545-8-bit-AVR-Microcontroller-ATmega48-88-168_Summary.pdf,IMG_20260818_193722.jpg,high,high,"Exact part number was supplied by the user after the original marking was misread."
